case_id,max_abs_lsb,mismatched_pixels,pixels,mismatch_fraction,status
PTAR-GEN-CHECKER-A,1,3117,82944,0.037579571759,PASS
PTAR-GEN-CHECKER-B,1,3246,82944,0.039134837963,PASS
PTAR-GEN-CHECKER-C,1,3141,82944,0.037868923611,PASS
PTAR-GEN-DIAGONAL_LINES-A,1,10717,82944,0.129207658179,PASS
PTAR-GEN-DIAGONAL_LINES-B,1,10717,82944,0.129207658179,PASS
PTAR-GEN-DIAGONAL_LINES-C,1,10717,82944,0.129207658179,PASS
PTAR-GEN-FREQUENCY_MIX-A,1,5203,82944,0.062729070216,PASS
PTAR-GEN-FREQUENCY_MIX-B,1,5237,82944,0.063138985340,PASS
PTAR-GEN-FREQUENCY_MIX-C,1,5195,82944,0.062632619599,PASS
PTAR-GEN-PIXELART-A,1,3836,82944,0.046248070988,PASS
PTAR-GEN-PIXELART-B,1,2922,82944,0.035228587963,PASS
PTAR-GEN-PIXELART-C,1,3937,82944,0.047465760031,PASS
PTAR-GEN-RINGS-A,1,5530,82944,0.066671489198,PASS
PTAR-GEN-RINGS-B,1,6060,82944,0.073061342593,PASS
PTAR-GEN-RINGS-C,1,5619,82944,0.067744502315,PASS
PTAR-GEN-UI_TEXT-A,1,247,82944,0.002977912809,PASS
PTAR-GEN-UI_TEXT-B,1,104,82944,0.001253858025,PASS
PTAR-GEN-UI_TEXT-C,1,209,82944,0.002519772377,PASS
SKI-BRICK-A,1,2049,82944,0.024703414352,PASS
SKI-BRICK-B,1,2000,82944,0.024112654321,PASS
SKI-BRICK-C,1,1978,82944,0.023847415123,PASS
SKI-CAMERA-A,1,1591,82944,0.019181616512,PASS
SKI-CAMERA-B,1,1828,82944,0.022038966049,PASS
SKI-CAMERA-C,1,1899,82944,0.022894965278,PASS
SKI-GRASS-A,1,1880,82944,0.022665895062,PASS
SKI-GRASS-B,1,1944,82944,0.023437500000,PASS
SKI-GRASS-C,1,1971,82944,0.023763020833,PASS
SKI-GRAVEL-A,1,1975,82944,0.023811246142,PASS
SKI-GRAVEL-B,1,1902,82944,0.022931134259,PASS
SKI-GRAVEL-C,1,1946,82944,0.023461612654,PASS
SKI-HORSE-A,1,268,82944,0.003231095679,PASS
SKI-HORSE-B,1,274,82944,0.003303433642,PASS
SKI-HORSE-C,1,216,82944,0.002604166667,PASS
SKI-HUBBLE_DEEP_FIELD-A,1,4356,82944,0.052517361111,PASS
SKI-HUBBLE_DEEP_FIELD-B,1,4184,82944,0.050443672840,PASS
SKI-HUBBLE_DEEP_FIELD-C,1,4281,82944,0.051613136574,PASS
SKI-RETINA-A,1,4262,82944,0.051384066358,PASS
SKI-RETINA-B,1,4312,82944,0.051986882716,PASS
SKI-RETINA-C,1,4024,82944,0.048514660494,PASS
SKI-ROCKET-A,1,3699,82944,0.044596354167,PASS
SKI-ROCKET-B,1,3690,82944,0.044487847222,PASS
SKI-ROCKET-C,1,3837,82944,0.046260127315,PASS
